分类,位号,数量,规格,品牌,厂家型号,立创编号,导入封装,用途与状态,本地已有封装,来源
0603待改方案,R31 R32,2,2.2kohm 1% 0.1W,UNI-ROYAL,0603WAF2201T5E,C4190,0603,当前0402；仅备库尚未改板,否,https://www.lcsc.com/product-detail/C4190.html

0603待改方案,R23,1,4.02kohm 1% 0.1W,UNI-ROYAL,0603WAF4021T5E,C23040,0603,当前0402；仅备库尚未改板,否,https://www.lcsc.com/product-detail/C23040.html

0603待改方案,R14 R15,2,4.7kohm 1% 0.1W,UNI-ROYAL,0603WAF4701T5E,C23162,0603,当前0402；仅备库尚未改板,否,https://www.lcsc.com/product-detail/C23162.html

0603待改方案,R18 R19,2,5.1kohm 1% 0.1W,UNI-ROYAL,0603WAF5101T5E,C23186,0603,当前0402；仅备库尚未改板,否,https://item.szlcsc.com/23913.html

0603待改方案,R7 R8 R9 R11 R16 R17 R29 R30 R40,9,10kohm 1% 0.1W,UNI-ROYAL,0603WAF1002T5E,C25804,0603,当前0402；仅备库尚未改板,否,https://www.lcsc.com/product-detail/C25804.html

0603待改方案,R38 R39,2,47kohm 1% 0.1W,UNI-ROYAL,0603WAF4702T5E,C25819,0603,当前0402；仅备库尚未改板,否,https://item.szlcsc.com/26562.html

0603待改方案,R10 R12 R22 R27 R28 R33 R34 R35 R37 R41,10,100kohm 1% 0.1W,UNI-ROYAL,0603WAF1003T5E,C25803,0603,当前0402；仅备库尚未改板,否,https://www.lcsc.com/product-detail/C25803.html

0603待改方案,R36,1,200kohm 1% 0.1W,UNI-ROYAL,0603WAF2003T5E,C25811,0603,当前0402；仅备库尚未改板,否,https://www.lcsc.com/product-detail/C25811.html

0603待改方案,R26,1,560kohm 1% 0.1W,UNI-ROYAL,0603WAF5603T5E,C23203,0603,当前0402；仅备库尚未改板,否,https://www.lcsc.com/product-detail/C23203.html

0603待改方案,C1 C2,2,24pF 50V C0G 5%,FH,0603CG240J500NT,C1654,0603,当前0402；仅备库尚未改板；晶振负载实测确认,否,https://www.lcsc.com/product-detail/C1654.html

0603待改方案,C5 C6 C7 C8 C10 C11 C14 C16 C17 C20 C23 C26 C28,13,100nF 50V X7R 10%,YAGEO,CC0603KRX7R9BB104,C14663,0603,当前0402/10V；备选耐压提高；未改板,否,https://www.lcsc.com/product-detail/C14663.html

0603待改方案,C4 C9 C15 C18 C27,5,1uF 25V X7R 10%,Samsung,CL10B105KA8NNNC,C29936,0603,当前0402/10V；备选耐压提高；未改板,否,https://www.lcsc.com/product-detail/C29936.html

现用型号,"C22,C29",2,10uF 25V X5R 10%,Samsung,CL21A106KAYNNNE,C15850,0805,按用户决定保留0805；升降压输入电容,是,https://www.lcsc.com/product-detail/C15850.html
现用型号,C3 C19 C21,3,10u 10V X5R,Samsung,CL10A106KP8NNNC,C19702,0603,原理图与PCB已同步；淘宝当前库存未核实,是,https://www.lcsc.com/product-detail/C19702.html

补选具体料号,C24 C25,2,22u 6.3V X5R,Samsung,CL10A226MQ8NRNC,C59461,0603,保留0805；原规格10V；备选耐压提高；有效容量仍需核对,否,https://www.lcsc.com/product-detail/C59461.html

DNP,C12 C13,2,射频调谐预留；不装,,,,0201,数值未定且不装；无采购料号；无需另导入,不适用,

小型候选,D2,1,DSK34,MDD,DSK34,C727076,SOD-123FL,小于现用SMC；仅预先导库；替换与温升尚未验证,否,https://www.lcsc.com/product-detail/C727076.html

小型候选,L3,1,0.47uH Isat=4.8A,Murata,DFE201610E-R47M=P2,C269773,2016 2.0x1.6x1.0mm,小于现用4.1mm电感；仅预先导库；饱和及损耗待复核,否,https://www.lcsc.com/product-detail/C269773.html

